2015 OSAP Repayment Assistance Participation Rates by Program,,,,,,,,,,
Private Career Colleges in Ontario,,,,,,,,,,
INSTITUTION NAME,PROGRAM NAME,# of Borrowers 2012-13 (1),# of 12-13 Borrowers who received Repayment Assistance (2),2015 Repayment Assistance Participation Rate (3),,,,,,
,Pharmaceutical Quality Assurance and Quality Control,13,7,53.8%,,,,,,
,Pharmaceutical Manufacturing Technician,35,17,48.6%,,,,,,
"OXFORD COLLEGE OF ARTS, BUSINESS AND TECHNOLOGY Total",,152,75,49.3%,,,,,,
,,,,,,,,,,
PEBEC SCHOOL OF ESTHETICS,Advanced Esthetics,11,4,36.4%,,,,,,
,Esthetics,*,*,*,,,,,,
PEBEC SCHOOL OF ESTHETICS Total,,14,5,35.7%,,,,,,
,,,,,,,,,,
"QUEEN'S COLLEGE OF BUSINESS, TECHNOLOGY AND PUBLIC SAFETY",Police Foundations,57,24,42.1%,,,,,,
"QUEEN'S COLLEGE OF BUSINESS, TECHNOLOGY AND PUBLIC SAFETY Total",,57,24,42.1%,,,,,,
,,,,,,,,,,
RAC DIGITAL ARTS COLLEGE,Game Design,*,*,*,,,,,,
,Sound And Music Recording,49,13,26.5%,,,,,,
RAC DIGITAL ARTS COLLEGE Total,,52,15,28.8%,,,,,,
,,,,,,,,,,
RANDOLPH ACADEMY FOR THE PERFORMING ARTS,Musical Theatre,23,13,56.5%,,,,,,
RANDOLPH ACADEMY FOR THE PERFORMING ARTS Total,,23,13,56.5%,,,,,,
,,,,,,,,,,
RCC INSTITUTE OF TECHNOLOGY - CONCORD,3D Animation For VG,19,4,21.1%,,,,,,
,Bachelor of Electronics Engineering,11,8,72.7%,,,,,,
,Bachelor of Interior Design,25,12,48.0%,,,,,,
,Electronic Engineering Technology,22,5,22.7%,,,,,,
,Interior Design Advanced,*,*,*,,,,,,
,Interior Decorating,*,*,*,,,,,,
,VG Design And Development,64,20,31.3%,,,,,,
RCC INSTITUTE OF TECHNOLOGY - CONCORD Total,,148,52,35.1%,,,,,,
,,,,,,,,,,
"RCC INSTITUTE OF TECHNOLOGY - TORONTO, DAVISVILLE CAMPUS",Fashion Design,23,15,65.2%,,,,,,
,Fashion Marketing And Merchandise,28,10,35.7%,,,,,,
,Graphic Design And Interior Media,26,11,42.3%,,,,,,
"RCC INSTITUTE OF TECHNOLOGY - TORONTO, DAVISVILLE CAMPUS Total",,77,36,46.8%,,,,,,
,,,,,,,,,,
"RCC INSTITUTE OF TECHNOLOGY - TORONTO, DUNDAS SQUARE","Acting, Film, TV, Theatre",66,33,50.0%,,,,,,
,Film Production,75,35,46.7%,,,,,,
,Writing For Film And TV,11,5,45.5%,,,,,,
"RCC INSTITUTE OF TECHNOLOGY - TORONTO, DUNDAS SQUARE Total",,152,73,48.0%,,,,,,
,,,,,,,,,,
ROYAL CONSERVATORY OF MUSIC,Artist Diploma Program - Orchestral ,5,3,60.0%,,,,,,
,Artist Diploma Program - Piano,*,*,*,,,,,,
,Performance Diploma Program - Orchestral,*,*,*,,,,,,
,Performance Diploma Program - Vocal,*,*,*,,,,,,
ROYAL CONSERVATORY OF MUSIC Total,,11,6,54.5%,,,,,,
,,,,,,,,,,
SCHOOL OF MAKEUP ART,Extensive Makeup Design,8,3,37.5%,,,,,,
,Makeup And Fashion Image,6,4,66.7%,,,,,,
SCHOOL OF MAKEUP ART Total,,14,7,50.0%,,,,,,
,,,,,,,,,,
SCHOOL OF TORONTO DANCE THEATRE,Professional Training Program Dance,*,*,*,,,,,,
SCHOOL OF TORONTO DANCE THEATRE Total,,*,*,*,,,,,,
,,,,,,,,,,
SHIATSU SCHOOL OF CANADA INC,Shiatsu Therapy,*,*,*,,,,,,
SHIATSU SCHOOL OF CANADA INC Total,,*,*,*,,,,,,
,,,,,,,,,,
STRATFORD CHEF SCHOOL,Level 1 Cookery,*,*,*,,,,,,
,Level 2 Cookery,*,*,*,,,,,,
STRATFORD CHEF SCHOOL Total,,7,0,0.0%,,,,,,
,,,,,,,,,,
SUTHERLAND-CHAN SCHOOL AND TEACHING CLINIC,Massage Therapy,45,17,37.8%,,,,,,
SUTHERLAND-CHAN SCHOOL AND TEACHING CLINIC Total,,45,17,37.8%,,,,,,
,,,,,,,,,,
THAMES VALLEY COLLEGE OF BUSINESS AND IT,Business Management,8,4,50.0%,,,,,,
,Network Administrator,*,*,*,,,,,,
,Police Foundations,*,*,*,,,,,,
,Small Business Manager,*,*,*,,,,,,
THAMES VALLEY COLLEGE OF BUSINESS AND IT Total,,12,5,41.7%,,,,,,
,,,,,,,,,,
THE CANADIAN ACADEMY OF DENTAL HEALTH AND COMMUNITY SCIENCES,Dental Hygiene,20,7,35.0%,,,,,,
,Intra Oral Dental Assist,7,1,14.3%,,,,,,
THE CANADIAN ACADEMY OF DENTAL HEALTH AND COMMUNITY SCIENCES Total,,27,8,29.6%,,,,,,
,,,,,,,,,,
TORONTO COLLEGE OF DENTAL HYGIENE AND AUXILIARIES REVIEW,Dental Assistant And Office Administration,6,3,50.0%,,,,,,
,Dental Hygiene,7,2,28.6%,,,,,,
TORONTO COLLEGE OF DENTAL HYGIENCE AND AUXILIARIES REVIEW Total,,13,5,38.5%,,,,,,
,,,,,,,,,,
TORONTO INSTITUTE OF PHARMACEUTICAL TECHNOLOGY,Pharmaceutical Quality Assurance And Quality Control,25,15,60.0%,,,,,,
,Pharmaceutical Regulatory Affairs Post Graduate,6,2,33.3%,,,,,,
,Pharmaceutical Manufacturing Technology,30,12,40.0%,,,,,,
,Pharmaceutical Research And Development,12,5,41.7%,,,,,,
TORONTO INSTITUTE OF PHARMACEUTICAL TECHNOLOGY Total,,73,34,46.6%,,,,,,
,,,,,,,,,,
TORONTO MONTESSORI INSTITUTE,Early Childhood Diploma,6,2,33.3%,,,,,,
,Elementary I And Ii Diploma,5,0,0.0%,,,,,,
TORONTO MONTESSORI INSTITUTE Total,,11,2,18.2%,,,,,,
,,,,,,,,,,
TORONTO SCHOOL OF ART,Fine Art Diploma Programme,*,*,*,,,,,,
,Professional Art Studio Certificate,*,*,*,,,,,,
TORONTO SCHOOL OF ART Total,,*,*,*,,,,,,
,,,,,,,,,,
TREBAS INSTITUTE,Audio Engineering Technician And Production And DJ Arts,65,25,38.5%,,,,,,
,Entertainment Management,11,5,45.5%,,,,,,
,Event And Venue Management,24,11,45.8%,,,,,,
,Film And TV Production And Post Production,12,10,83.3%,,,,,,
TREBAS INSTITUTE Total,,112,51,45.5%,,,,,,
,,,,,,,,,,
TRILLIUM COLLEGE - BURLINGTON,Business Management,7,2,28.6%,,,,,,
,Community Service Worker,9,2,22.2%,,,,,,
,Intra Oral Dental Assistant Level I and Ii,14,3,21.4%,,,,,,
,Massage Therapy,15,7,46.7%,,,,,,
,Medical Office Assistant,6,1,16.7%,,,,,,
,Personal Support Worker,12,5,41.7%,,,,,,
,Police Foundations,9,3,33.3%,,,,,,
,Primary Care Paramedic,38,11,28.9%,,,,,,
TRILLIUM COLLEGE - BURLINGTON Total,,116,34,29.3%,,,,,,
,,,,,,,,,,
TRILLIUM COLLEGE - KINGSTON,Business Management,5,2,40.0%,,,,,,
,Community Service Worker,19,8,42.1%,,,,,,
,Development Service Worker,*,*,*,,,,,,
,Intra Oral Dental Assistant Level I and Ii,*,*,*,,,,,,
,Massage Therapy,17,7,41.2%,,,,,,
,Medical Laboratory Assistant Technician,11,3,27.3%,,,,,,
,Medical Office Assistant,15,7,46.7%,,,,,,
,Personal Support Worker,53,17,32.1%,,,,,,
,Police Foundations,11,6,54.5%,,,,,,
TRILLIUM COLLEGE - KINGSTON - Total,,135,51,37.8%,,,,,,
,, ,,,,,,,,
TRILLIUM COLLEGE - OSHAWA,Account And Payroll Administration,10,5,50.0%,,,,,,
,Advanced Esthetics And Spa Operations,21,10,47.6%,,,,,,
,Business Management,9,4,44.4%,,,,,,
,Community Service Worker,22,8,36.4%,,,,,,
,Developmental Service Worker,6,5,83.3%,,,,,,
,Intra Oral Dental Assistant Level I and Ii,19,7,36.8%,,,,,,
,Legal Administration Assistant,*,*,*,,,,,,
,Massage Therapy,12,6,50.0%,,,,,,
,Medical Laboratory Assistant Technician,34,17,50.0%,,,,,,
,Medical Office Assistant,40,19,47.5%,,,,,,
,Network Administration,10,2,20.0%,,,,,,
,Personal Support Worker,54,21,38.9%,,,,,,
,Pharmacy Assistant,*,*,*,,,,,,
,Police Foundations,16,6,37.5%,,,,,,
,VG Designer,8,5,62.5%,,,,,,
TRILLIUM COLLEGE - OSHAWA Total,,267,118,44.2%,,,,,,
,,,,,,,,,,
TRILLIUM COLLEGE - OTTAWA,Accounting And Pay Administrator,*,*,*,,,,,,
,Community Service Worker,5,3,60.0%,,,,,,
,Intra Oral Dental Assistant Level I and Ii,*,*,*,,,,,,
,Massage Therapy ,*,*,*,,,,,,
,Medical Office Assistant,*,*,*,,,,,,
,Medical Laboratory Assistant Technician,5,2,40.0%,,,,,,
,Personal Support Worker,*,*,*,,,,,,
TRILLIUM COLLEGE - OTTAWA Total,,20,8,40.0%,,,,,,
,,,,,,,,,,
TRILLIUM COLLEGE - PETERBOROUGH,Account And Payroll Administration,8,3,37.5%,,,,,,
,Advanced Esthetics And Spa Operations,30,15,50.0%,,,,,,
,Business Management ,8,2,25.0%,,,,,,
,Community Service Worker,10,7,70.0%,,,,,,
,Developmental Service Worker,9,3,33.3%,,,,,,
,Executive Office Assistant,*,*,*,,,,,,
,Intra Oral Dental Assistant Level I and Ii,10,4,40.0%,,,,,,
,Massage Therapy,6,5,83.3%,,,,,,
,Medical Office Assistant,14,8,57.1%,,,,,,
,Network Administration,5,3,60.0%,,,,,,
,Personal Support Worker,47,20,42.6%,,,,,,
,Police Foundations,7,2,28.6%,,,,,,
,VG Designer,8,5,62.5%,,,,,,
TRILLIUM COLLEGE - PETERBOROUGH Total,,164,78,47.6%,,,,,,
,,,,,,,,,,
TRILLIUM COLLEGE - ST. CATHARINES,Account And Payroll Administration,6,1,16.7%,,,,,,
,Business Management Before Feb 1,12,7,58.3%,,,,,,
,Community Service Worker,39,23,59.0%,,,,,,
,Developmental Service Worker,12,9,75.0%,,,,,,
,Executive Office Assistant,*,*,*,,,,,,
,Intra Oral Dental Assistant Level I and Ii,15,11,73.3%,,,,,,
,Massage Therapy,21,11,52.4%,,,,,,
,Medical Office Assistant,34,16,47.1%,,,,,,
,Personal Support Worker,30,8,26.7%,,,,,,
,Police Foundations,23,7,30.4%,,,,,,
,VG Designer,9,0,0.0%,,,,,,
TRILLIUM COLLEGE - ST. CATHARINES Total,,202,93,46.0%,,,,,,
,,,,,,,,,,
"TRILLIUM COLLEGE - TORONTO, CHURCH STREET",Advanced Esthetics And Spa Operations,8,2,25.0%,,,,,,
,Hairstyling,5,2,40.0%,,,,,,
,Massage,11,7,63.6%,,,,,,
"TRILLIUM COLLEGE - TORONTO, CHURCH STREET - Total",,24,11,45.8%,,,,,,
,,,,,,,,,,
"TRILLIUM COLLEGE - TORONTO, YONGE ST.",Denturism,*,*,*,,,,,,
,Intra Oral Dental Assistant Level I and Ii,*,*,*,,,,,,
,Medical Laboratory Assistant Technician,*,*,*,,,,,,
,Physiotherapy/Occupational Therapist Assistant,5,1,20.0%,,,,,,
"TRILLIUM COLLEGE - TORONTO, YONGE ST. Total",,12,2,16.7%,,,,,,
,,,,,,,,,,
TRIOS COLLEGE - BRAMPTON,Accounting And Payroll Administrator,10,3,30.0%,,,,,,
,Administration Assistant,*,*,*,,,,,,
,Business Administration,5,1,20.0%,,,,,,
,Business Administration Human Resources Marketing,*,*,*,,,,,,
,Community Services Worker,*,*,*,,,,,,
,Community Services Worker And Intern,28,16,57.1%,,,,,,
,Honours Business Administration,*,*,*,,,,,,
,Honours Business Administration And Internship,8,3,37.5%,,,,,,
,Information Technology Administrator,*,*,*,,,,,,
,Information Technology Professional And Internship,*,*,*,,,,,,
,Law Clerk And Internship,11,6,54.5%,,,,,,
,Medical Office Assistant,*,*,*,,,,,,
,Medical Office Assistant And Internship,29,12,41.4%,,,,,,
,Medical Transcriptionist And Internship,*,*,*,,,,,,
,Network Administrator,*,*,*,,,,,,
,Network Engineer And Internship,5,1,20.0%,,,,,,
,Occupational Therapy Assistant,5,4,80.0%,,,,,,
,Office Administrator Accounting Specialist,*,*,*,,,,,,
,Pharmacy Assistant,9,1,11.1%,,,,,,
,Physiotherapy Assistant,6,2,33.3%,,,,,,
,Police Foundations,22,5,22.7%,,,,,,
,Pro Transport Operator And Internship,*,*,*,,,,,,
,Professional Transport Operator,*,*,*,,,,,,
,Physiotherapy Assistant/Occupational Therapy Assistant,12,5,41.7%,,,,,,
,Supply Chain And Logistics,*,*,*,,,,,,
,Supply Chain And Logistics And Internship,16,5,31.3%,,,,,,
,Supply Chain Purchasing And Inventory Management,*,*,*,,,,,,
TRIOS COLLEGE - BRAMPTON Total,,195,73,37.4%,,,,,,
,,, ,,,,,,,
TRIOS COLLEGE - HAMILTON,Accounting And Payroll Administration,*,*,*,,,,,,
,Advanced Business Office Applications,*,*,*,,,,,,
,Business Administration Application And Accounting Specialist,*,*,*,,,,,,
,Community Services Worker,5,2,40.0%,,,,,,
,Community Services Worker And Internship,18,8,44.4%,,,,,,
,Honours Business Administration And Internship,*,*,*,,,,,,
,Information Technology Professional And Internship,*,*,*,,,,,,
,Law Clerk And Internship,8,2,25.0%,,,,,,
,Medical Office Assistant And Internship,14,6,42.9%,,,,,,
,Medical Transcriptionist And Internship,*,*,*,,,,,,
,Network Administrator,*,*,*,,,,,,
,Network Engineer And Internship,7,4,57.1%,,,,,,
,Occupational Therapy Assistant,*,*,*,,,,,,
,Paralegal,36,14,38.9%,,,,,,
,Pharmacy Assistant,8,4,50.0%,,,,,,
,Physiotherapy Assistant,*,*,*,,,,,,
,Police Foundations,15,5,33.3%,,,,,,
,Physiotherapy Assistant/Occupational Therapy Assistant,*,*,*,,,,,,
,Supply Chain And Logistics,*,*,*,,,,,,
,Supply Chain And Logistics And Internship,*,*,*,,,,,,
,Video Game Design And Developer,*,*,*,,,,,,
,"Video Game Design, Development And Internship",12,4,33.3%,,,,,,
TRIOS COLLEGE - HAMILTON Total,,155,61,39.4%,,,,,,
,,,,,,,,,,
TRIOS COLLEGE - KITCHENER,Accounting And Payroll Administration,7,3,42.9%,,,,,,
,Administrative Assistant,*,*,*,,,,,,
,Business Administration Human Resources Assistant,*,*,*,,,,,,
,Business Administration Human Resources Marketing Specialist,*,*,*,,,,,,
,Community Services Worker,*,*,*,,,,,,
,Community Services Worker And Internship,9,3,33.3%,,,,,,
,Enterprise Web And Mobile Development And Internship,*,*,*,,,,,,
,Honours Business Administration And Internship,10,4,40.0%,,,,,,
,Information Technology Professional And Internship,*,*,*,,,,,,
,Law Clerk And Internship,9,4,44.4%,,,,,,
,Medical Office Assistant And Internship,8,5,62.5%,,,,,,
,Medical Transcriptionist And Internship,*,*,*,,,,,,
,Network Administrator,*,*,*,,,,,,
,Network Engineer And Internship,10,4,40.0%,,,,,,
,Office Administrator - Accounting,*,*,*,,,,,,
,Paralegal,7,2,28.6%,,,,,,
,Personal Support Worker,5,3,60.0%,,,,,,
,Pharmacy Assistant,*,*,*,,,,,,
,Police Foundations,10,2,20.0%,,,,,,
,Physiotherapy Assistant/Occupational Therapy Assistant,*,*,*,,,,,,
,Supply Chain And Logistics And Internship,5,3,60.0%,,,,,,
,"Video Game Design, Developer And Internship",15,6,40.0%,,,,,,
TRIOS COLLEGE - KITCHENER Total,,113,45,39.8%,,,,,,
,,,,,,,,,,
TRIOS COLLEGE - LONDON,Accounting And Payroll Administration,9,5,55.6%,,,,,,
,Addiction Worker,21,11,52.4%,,,,,,
,Administration Assistant,*,*,*,,,,,,
,Application Developer Mobile And Web Specialist And Internship,*,*,*,,,,,,
,Business Administration Application And Accounting Specialist,*,*,*,,,,,,
,Business Administration Human Resources Marketing Specialist,*,*,*,,,,,,
,Community Services Worker And Internship,11,3,27.3%,,,,,,
,Enterprise Web And Mobile Development And Internship,*,*,*,,,,,,
,Honours Business Administration And Internship,5,3,60.0%,,,,,,
,Law And Security Officer,*,*,*,,,,,,
,Law Clerk Internship,*,*,*,,,,,,
,Medical Office Assistant And Internship,13,4,30.8%,,,,,,
,Medical Transcriptionist And Internship,5,3,60.0%,,,,,,
,Network Administrator,*,*,*,,,,,,
,Network Engineer And Internship,*,*,*,,,,,,
,Paralegal,16,8,50.0%,,,,,,
,Personal Support Worker,16,3,18.8%,,,,,,
,Pharmacy Assistant,*,*,*,,,,,,
,Physiotherapy Assistant,*,*,*,,,,,,
,Police Foundations,13,7,53.8%,,,,,,
,Physiotherapy Assistant/Occupational Therapy Assistant,31,17,54.8%,,,,,,
,Supply Chain And Logistics And Internship,13,3,23.1%,,,,,,
,"Video Game Design, Developer And Internship",10,3,30.0%,,,,,,
,Web Design And Developer And Internship,5,2,40.0%,,,,,,
TRIOS COLLEGE - LONDON Total,,189,*,*,,,,,,
,,,,,,,,,,
TRIOS COLLEGE - MISSISSAUGA,Accounting And Payroll Administration,6,2,33.3%,,,,,,
,Addiction Worker,12,4,33.3%,,,,,,
,Administration Assistant,*,*,*,,,,,,
,Business Administration Application And Accounting,*,*,*,,,,,,
,Business Administration Human Resources Marketing Specialist,*,*,*,,,,,,
,Community Services Worker,*,*,*,,,,,,
,Community Services Worker And Internship,13,7,53.8%,,,,,,
,Enterprise Web And Mobile Development And Internship,*,*,*,,,,,,
,Enterprise Web And Mobile Developer,*,*,*,,,,,,
,Honours Business Administration And Internship,10,4,40.0%,,,,,,
,"Information Technology Administration Window Server, Messaging And Mobile Specialist",*,*,*,,,,,,
,Information Technology Professional And Internship,*,*,*,,,,,,
,Law Clerk And Internship,8,6,75.0%,,,,,,
,Medical Office Assistant,11,6,54.5%,,,,,,
,Medical Office Assistant And Internship,28,12,42.9%,,,,,,
,Medical Transcriptionist And Internship,*,*,*,,,,,,
,Network Administrator,*,*,*,,,,,,
,Network Engineer And Internship,10,5,50.0%,,,,,,
,Network Specialist ,*,*,*,,,,,,
,Paralegal,50,29,58.0%,,,,,,
,Personal Support Worker,23,8,34.8%,,,,,,
,Police Foundations,14,10,71.4%,,,,,,
,Supply Chain And Logistics And Internship,15,9,60.0%,,,,,,
,Supply Chain Purchasing And Inventory Management,*,*,*,,,,,,
,Video Game Design And Development,*,*,*,,,,,,
,Video Game Design And Development And Internship,9,5,55.6%,,,,,,
,Web Design And Development And Internship,*,*,*,,,,,,
,Web Technology Specialist,*,*,*,,,,,,
TRIOS COLLEGE - MISSISSAUGA Total,,245,120,49.0%,,,,,,
,, ,,,,,,,,
TRIOS COLLEGE - OSHAWA,Accounting And Payroll Administrator,9,6,66.7%,,,,,,
,Business Administration  Applications And Accounting,*,*,*,,,,,,
,Business Administration Human Resources Application Specialist,*,*,*,,,,,,
,Business Administration Human Resources Marketing Specialist,*,*,*,,,,,,
,Community Services Worker,*,*,*,,,,,,
,Community Services Worker And Internship,16,10,62.5%,,,,,,
,Honours Business Administration And Internship,9,5,55.6%,,,,,,
,Information Technology Professional And Internship,*,*,*,,,,,,
,Law Clerk And Internship,7,2,28.6%,,,,,,
,Medical Office Assistant And Internship,16,10,62.5%,,,,,,
,Medical Transcriptionist And Internship,*,*,*,,,,,,
,Network Administrator,*,*,*,,,,,,
,Network Engineer And Internship,5,2,40.0%,,,,,,
,Paralegal,9,6,66.7%,,,,,,
,Pharmacy Assistant,12,7,58.3%,,,,,,
,Physiotherapy Assistant,*,*,*,,,,,,
,Police Foundations,20,6,30.0%,,,,,,
,Professional Transport Operator And Internship,*,*,*,,,,,,
,Physiotherapy Assistant/Occupational Therapy Assistant,13,9,69.2%,,,,,,
,Supply Chain And Logistics And Internship,9,5,55.6%,,,,,,
TRIOS COLLEGE - OSHAWA Total,,140,75,53.6%,,,,,,
,,,,,,,,,,
TRIOS COLLEGE - SCARBOROUGH,Accounting And Payroll Administrator,*,*,*,,,,,,
,Business Administration Human Resources Marketing Specialist,*,*,*,,,,,,
,Community Services Worker And Internship,6,3,50.0%,,,,,,
,Honours Business Administration And Internship,*,*,*,,,,,,
,Information Technology Professional And Internship,*,*,*,,,,,,
,Law Clerk And Internship,10,5,50.0%,,,,,,
,Medical Office Assistant And Internship,10,4,40.0%,,,,,,
,Network Administrator,*,*,*,,,,,,
,Network Engineer And Internship,*,*,*,,,,,,
,Physiotherapy Assistant,*,*,*,,,,,,
,Police Foundations,10,6,60.0%,,,,,,
,Physiotherapy Assistant/Occupational Therapy Assistant,9,4,44.4%,,,,,,
,Supply Chain And Logistics And Internship,11,6,54.5%,,,,,,
TRIOS COLLEGE - SCARBOROUGH Total,,73,34,46.6%,,,,,,
,,,,,,,,,,
TRIOS COLLEGE - TORONTO,Accounting And Payroll Administration,8,5,62.5%,,,,,,
,Advanced Business Office Applications,*,*,*,,,,,,
,Business Administration Application And Accounting Specialist,*,*,*,,,,,,
,Business Administration Human Resources Marketing Specialist,*,*,*,,,,,,
,Community Services Worker And Internship,16,8,50.0%,,,,,,
,Enterprise Web And Mobile Development   ,*,*,*,,,,,,
,Enterprise Web And Mobile Development And Internship,6,0,0.0%,,,,,,
,Honours Business Administration,*,*,*,,,,,,
,Honours Business Administration And Internship,8,5,62.5%,,,,,,
,"Information Technology Administration Messaging, Mobile, Linux And Security Specialist",*,*,*,,,,,,
,"Information Technology Administration Windows Server, Messaging And Mobile Specialist",*,*,*,,,,,,
,"Information Technology Administration Windows Server, Messaging And Mobile And Internship",*,*,*,,,,,,
,Law Clerk,*,*,*,,,,,,
,Law Clerk And Internship,*,*,*,,,,,,
,Medical Office Assistant And Internship,17,14,82.4%,,,,,,
,Medical Transcriptionist And Internship,*,*,*,,,,,,
,Network Administrator,*,*,*,,,,,,
,Network Engineering And Internship,9,6,66.7%,,,,,,
,Network Specialist ,*,*,*,,,,,,
,Office Administration,*,*,*,,,,,,
,Office Administrator Application Specialist,*,*,*,,,,,,
,Occupational Therapy Assistant,5,4,80.0%,,,,,,
,Paralegal,38,19,50.0%,,,,,,
,Pharmacy Assistant,10,4,40.0%,,,,,,
,Physiotherapy Assistant,6,4,66.7%,,,,,,
,Police Foundations,20,8,40.0%,,,,,,
,Physiotherapy Assistant/Occupational Therapy Assistant,10,3,30.0%,,,,,,
,Supply Chain And Logistics,*,*,*,,,,,,
,Supply Chain And Logistics And Internship,14,12,85.7%,,,,,,
,Video Game Design And Development And Internship,17,8,47.1%,,,,,,
,Videogame Design Technologies And Internship,*,*,*,,,,,,
,Web Design And Development And Internship,6,3,50.0%,,,,,,
,Web Technology Specialist ,7,3,42.9%,,,,,,
TRIOS COLLEGE - TORONTO Total,,235,127,54.0%,,,,,,
,,,,,,,,,,
TRIOS COLLEGE - WINDSOR,Accounting And Payroll Administrator,*,*,*,,,,,,
,Business Administration Application And Accounting Specialist,*,*,*,,,,,,
,Business Administration Human Resources Marketing Specialist,*,*,*,,,,,,
,Community Services Worker And Internship,15,10,66.7%,,,,,,
,Enterprise Web And Mobile Development And Internship,*,*,*,,,,,,
,Honours Business Administration And Internship,7,3,42.9%,,,,,,
,Information Technology Professional And Internship,*,*,*,,,,,,
,Law Clerk And Internship,*,*,*,,,,,,
,Medical Office Assistant And Internship,19,9,47.4%,,,,,,
,Medical Transcriptionist And Internship,5,3,60.0%,,,,,,
,Network Administrator,*,*,*,,,,,,
,Network Engineer,*,*,*,,,,,,
,Network Engineer And Internship,*,*,*,,,,,,
,Office Administrator Application Specialist,*,*,*,,,,,,
,Paralegal,8,7,87.5%,,,,,,
,Personal Support Worker,14,4,28.6%,,,,,,
,Pharmacy Assistant,9,4,44.4%,,,,,,
,Police Foundations,10,5,50.0%,,,,,,
,Physiotherapy Assistant,19,11,57.9%,,,,,,
,Supply Chain And Logistics,*,*,*,,,,,,
,Supply Chain And Logistics And Internship.,*,*,*,,,,,,
,Web Design And Develop And Internship,*,*,*,,,,,,
,Web Technology Specialist,*,*,*,,,,,,
TRIOS COLLEGE - WINDSOR Total,,132,66,50.0%,,,,,,
,,,,,,,,,,
VERSAILLES ACADEMY OF MAKE-UP ARTS AND ESTHETICS,Professional Esthetician,22,13,59.1%,,,,,,
,Professional Hairstyling,21,11,52.4%,,,,,,
VERSAILLES ACADEMY OF MAKE-UP ARTS AND ESTHETICS Total,,43,24,55.8%,,,,,,
,,,,,,,,,,
VIOLA INSTITUTE SCHOOL OF HAIR DESIGN,Hairstyling,13,4,30.8%,,,,,,
VIOLA INSTITUTE SCHOOL OF HAIR DESIGN Total,,13,4,30.8%,,,,,,
,,,,,,,,,,
WELDING AT ITS BEST,Welding: 4 Major Technical And Pipe,28,2,7.1%,,,,,,
,Welding: 5 Major Technical And Pipe,*,*,*,,,,,,
WELDING AT ITS BEST Total,,29,3,10.3%,,,,,,
,,,,,,,,,,
WEST END ACADEMY,Medical Esthetician,6,3,50.0%,,,,,,
,Professional Esthetician,*,*,*,,,,,,
,Professional Hairstyling,15,5,33.3%,,,,,,
WEST END ACADEMY Total,,24,8,33.3%,,,,,,
,,,,,,,,,,
WESTERVELT COLLEGE,Business - Accounting,12,4,33.3%,,,,,,
,Executive Administration,21,6,28.6%,,,,,,
,"Hotel, Restaurant And Case Management",14,10,71.4%,,,,,,
,In Graphic Design,5,1,20.0%,,,,,,
,Information Technology Technician,15,6,40.0%,,,,,,
,Interior Decorating,13,8,61.5%,,,,,,
,Law Clerk,7,3,42.9%,,,,,,
,Massage Therapy,11,5,45.5%,,,,,,
,Medical Laboratory Assistant/Technician,*,*,*,,,,,,
,Medical Administration,34,17,50.0%,,,,,,
,Medical Laboratory Assistant/Technician,10,3,30.0%,,,,,,
,Office Administration,*,*,*,,,,,,
,Paralegal Studies,29,8,27.6%,,,,,,
,Personal Support Worker,35,6,17.1%,,,,,,
,Pharmacy Assistant,*,*,*,,,,,,
,Pharmacy Technician,14,4,28.6%,,,,,,
,Police Foundations ,57,15,26.3%,,,,,,
,Receptionist Before,*,*,*,,,,,,
,Sales And Marketing ,7,2,28.6%,,,,,,
,Tourism And Travel,*,*,*,,,,,,
WESTERVELT COLLEGE Total,,297,103,34.7%,,,,,,
,,,,,,,,,,
WILLIS COLLEGE - OTTAWA,Community Services Worker,5,1,20.0%,,,,,,
,Executive Business Administration,*,*,*,,,,,,
,Honours Business Administration,*,*,*,,,,,,
,Medical Office Administration - Ward Clerk,*,*,*,,,,,,
,Network Systems Administrator,*,*,*,,,,,,
,Network Systems Information Technology Professional,7,2,28.6%,,,,,,
,Network Systems Information Technology Security Program,*,*,*,,,,,,
,Office Administrator - Accounting Specialist,*,*,*,,,,,,
,Technical Support Specialist,*,*,*,,,,,,
WILLIS COLLEGE - OTTAWA Total,,23,7,30.4%,,,,,,
,,,,,,,,,,
WILLIS COLLEGE - SMITH FALLS,Executive Business Administration,8,4,50.0%,,,,,,
,Health Office Administrator,5,2,40.0%,,,,,,
,Honours Business Administration,8,4,50.0%,,,,,,
,Medical Office Administration - Ward Clerk Specialist,11,6,54.5%,,,,,,
,Network Systems Engineer,5,2,40.0%,,,,,,
,Office Administration - Accounting Specialist,*,*,*,,,,,,
,Office Administrator,*,*,*,,,,,,
,Office Administrator - Human Resources Specialist,*,*,*,,,,,,
,Personal Support Worker,29,8,27.6%,,,,,,
WILLIS COLLEGE - SMITH FALLS Total,,69,27,39.1%,,,,,,
,,,,,,,,,,
Private Career Colleges in Ontario Total,,"12,935","5,741",44.4%,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
